History Channel Functions Measurement Report

Measurements started at Date: 06-May-2023 Time: 14:20:27

Spectrometer ID : 0706001U1
Integration Time: 100.00 ms
Averages        : 8 scans

Description of the Function:

Integral: between  340.00 and  360.00 nm. Multiplied with:  1.0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
14:20:36     10.312     238611.5127
14:20:46     20.823     238845.5427
14:20:57     31.335     238717.4325
14:21:07     41.852     238868.8898
14:21:18     52.366     238614.2331
14:21:28     62.883     238811.9950
14:21:39     73.393     238626.0078
14:21:49     83.907     238505.8147
14:22:00     94.423     238674.2144
14:22:10    104.942     238622.3566
14:22:21    115.453     238556.6967
14:22:31    125.967     237817.2544
14:22:42    136.478     238046.3007
14:22:52    146.996     237994.2456
14:23:03    157.514     238003.8358
14:23:13    168.028     237936.2924
14:23:24    178.540     237637.4767
14:23:34    189.065     237694.3973
14:23:45    199.580     237628.5820
14:23:55    210.097     237186.2762
14:24:06    220.612     237680.4307
14:24:16    231.128     237558.0180
14:24:27    241.641     237591.8908
14:24:37    252.156     237643.9207
14:24:48    262.667     237872.9555
14:24:58    273.181     238043.4855
14:25:09    283.697     237636.1574
14:25:20    294.213     237658.7153
14:25:30    304.727     237858.8654
14:25:41    315.241     237510.4058
14:25:51    325.751     237036.2569
14:26:02    336.264     237503.3592
14:26:12    346.776     237628.0554
14:26:23    357.287     237362.6504
14:26:33    367.795     237024.0627
14:26:44    378.308     237090.6425
14:26:54    388.820     237264.6971
14:27:05    399.335     236997.1319
14:27:15    409.848     236890.9484
14:27:26    420.363     236780.9120
14:27:36    430.880     237069.7949
14:27:47    441.396     237103.2904
14:27:57    451.906     236793.3070
14:28:08    462.420     236537.5593
14:28:18    472.931     236249.3741
14:28:29    483.452     236222.3175
14:28:39    493.966     236596.1339
14:28:50    504.485     236304.5949
14:29:00    514.993     236028.2808
14:29:11    525.514     236242.6810
14:29:21    536.034     236500.0930
14:29:32    546.547     236134.7642
14:29:42    557.060     236065.2512
14:29:53    567.590     236477.4684
14:30:03    578.103     235715.7239
14:30:14    588.616     235852.0409
14:30:24    599.127     236072.1670
14:30:35    609.656     236176.0503
14:30:45    620.168     236012.3121
14:30:56    630.679     236052.0370
14:31:06    641.197     235621.4836
14:31:17    651.709     234946.1269
14:31:28    662.222     235020.4693
14:31:38    672.736     234277.9752
14:31:49    683.246     234274.4783
14:31:59    693.763     234037.0907
14:32:10    704.275     233131.7482
14:32:20    714.788     232723.0610
14:32:31    725.300     232270.7212
14:32:41    735.815     231324.5706
14:32:52    746.324     230547.9439
14:33:02    756.848     229464.9493
14:33:13    767.355     228869.1010
14:33:23    777.877     227833.5060
14:33:34    788.390     226708.3143
14:33:44    798.899     225968.3423
14:33:55    809.411     225018.3325
14:34:05    819.929     224326.0261
14:34:16    830.478     223270.8660
14:34:26    840.991     221632.7680
14:34:37    851.499     220793.4468
14:34:47    862.028     220117.6850
14:34:58    872.539     219326.7518
14:35:08    883.052     218821.7683
14:35:19    893.567     217643.5436
14:35:29    904.081     217212.9935
14:35:40    914.593     216267.2618
14:35:50    925.104     215879.7672
14:36:01    935.616     215451.3397
14:36:11    946.128     215502.0303
14:36:22    956.648     215698.1814
14:36:32    967.163     215287.4459
14:36:43    977.674     215629.7576
