History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
19:01:41      5,753     211328,5524
19:01:46     10,819     211495,1858
19:01:51     15,884     211426,1332
19:01:56     20,938     211667,1306
19:02:01     25,991     211654,1818
19:02:06     31,047     211621,9012
19:02:11     36,104     211624,2819
19:02:16     41,152     211598,5110
19:02:21     46,204     211547,5078
19:02:26     51,279     211734,3313
19:02:31     56,329     211565,9632
19:02:36     61,385     211586,8663
19:02:41     66,442     211812,0880
19:02:46     71,508     211716,0374
19:02:51     76,558     211741,4100
19:02:56     81,610     211544,6283
19:03:01     86,666     211634,7734
19:03:07     91,717     211718,3256
19:03:12     96,774     211864,1321
19:03:17    101,841     211939,8105
19:03:22    106,908     211848,9828
19:03:27    111,965     211957,2570
19:03:32    117,023     211987,3263
19:03:37    122,089     211968,1929
19:03:42    127,145     211822,9093
19:03:47    132,203     212050,3176
19:03:52    137,256     212040,0129
19:03:57    142,334     211886,7759
19:04:02    147,394     211966,5366
19:04:07    152,448     212158,0849
19:04:12    157,503     212054,3184
19:04:17    162,580     212262,1782
19:04:22    167,663     212092,5202
19:04:28    172,730     212208,1081
19:04:33    177,788     212347,5157
19:04:38    182,861     212357,8037
19:04:43    187,917     212311,9112
19:04:48    192,986     212306,7543
19:04:53    198,071     212256,1003
19:04:58    203,158     212389,4537
19:05:03    208,222     212469,4941
19:05:08    213,281     212539,8692
19:05:13    218,345     212734,6255
19:05:18    223,409     212316,9770
19:05:23    228,470     212490,7671
19:05:28    233,548     212362,4228
19:05:33    238,614     212635,9832
19:05:38    243,680     212464,6119
19:05:44    248,737     212685,0736
19:05:49    253,797     212642,2202
19:05:54    258,875     212643,9469
19:05:59    263,934     212562,0282
19:06:04    268,993     212666,4113
19:06:09    274,060     212793,3603
19:06:14    279,139     212778,9693
19:06:19    284,224     212786,1123
19:06:24    289,308     212852,5405
19:06:29    294,389     212831,1920
19:06:34    299,477     212715,8597
19:06:39    304,562     212846,3122
19:06:44    309,647     212938,0737
19:06:50    314,724     212850,5554
19:06:55    319,823     212826,6715
19:07:00    324,904     212917,2125
19:07:05    329,975     213169,8685
19:07:10    335,060     213129,3193
19:07:15    340,147     213074,1095
19:07:20    345,209     212955,8934
19:07:25    350,271     212901,0496
19:07:30    355,342     213222,9803
19:07:35    360,409     213090,5689
19:07:40    365,501     213182,7435
19:07:45    370,575     213199,5561
19:07:50    375,646     213326,1760
19:07:56    380,717     213257,9208
19:08:01    385,783     213419,2509
19:08:06    390,845     213078,8894
19:08:11    395,917     213293,6183
19:08:16    400,981     213545,3084
19:08:21    406,063     213600,7949
19:08:26    411,142     213757,6059
19:08:31    416,222     213663,7636
19:08:36    421,318     213818,1322
19:08:41    426,414     213808,4599
19:08:46    431,492     213780,0095
19:08:51    436,575     213793,2393
19:08:56    441,656     213873,9559
19:09:02    446,730     213715,5081
19:09:07    451,796     213900,5672
19:09:12    456,868     213971,5600
19:09:17    461,942     214024,5015
19:09:22    467,018     214259,5399
19:09:27    472,084     214290,3555
19:09:32    477,163     214339,5955
19:09:37    482,244     214417,8890
19:09:42    487,311     214268,4155
19:09:47    492,378     214503,9588
19:09:52    497,454     214336,4258
19:09:57    502,527     214525,7446
19:10:02    507,612     214673,7662
19:10:07    512,678     214525,9097
19:10:13    517,747     214702,2030
19:10:18    522,815     214763,4025
19:10:23    527,900     214809,7180
19:10:28    532,997     214951,0522
19:10:33    538,096     215172,2926
19:10:38    543,176     215374,4012
19:10:43    548,246     215663,9710
19:10:48    553,326     215769,3967
19:10:53    558,406     215888,2113
19:10:58    563,487     215922,2591
19:11:03    568,569     216364,7812
19:11:08    573,657     216259,1550
19:11:14    578,748     216534,9067
19:11:19    583,842     216637,4317
19:11:24    588,932     216586,7265
19:11:29    594,021     216868,5496
19:11:34    599,114     217201,1047
19:11:39    604,202     217184,5080
19:11:44    609,289     217418,0048
19:11:49    614,373     217612,5979
19:11:54    619,457     217563,7378
19:11:59    624,541     217803,0521
19:12:04    629,621     217950,6808
19:12:10    634,707     218130,3673
19:12:15    639,810     218440,0877
19:12:20    644,886     218431,4336
19:12:25    649,962     218737,3850
19:12:30    655,052     218525,2159
19:12:35    660,144     218806,7909
19:12:40    665,229     219006,3292
19:12:45    670,314     219128,6272
19:12:50    675,390     219317,9305
19:12:55    680,481     219481,5145
19:13:00    685,571     219621,8747
19:13:05    690,649     219746,9891
19:13:11    695,735     219896,2739
19:13:16    700,821     220008,5404
19:13:21    705,909     220265,0653
19:13:26    710,997     220504,4866
19:13:31    716,073     220474,1686
19:13:36    721,165     220600,9899
19:13:41    726,278     221001,2172
19:13:46    731,356     221068,7614
19:13:51    736,446     221103,5350
19:13:56    741,522     221320,3505
19:14:01    746,610     221353,4661
19:14:06    751,687     221597,5235
19:14:12    756,765     221665,5768
19:14:17    761,843     221848,4358
19:14:22    766,922     222028,5051
19:14:27    772,008     222100,8272
19:14:32    777,103     222249,1364
19:14:37    782,182     222301,3227
19:14:42    787,263     222459,4120
19:14:47    792,344     222641,4679
19:14:52    797,438     222641,0476
19:14:57    802,517     223009,2752
19:15:02    807,610     222866,7674
19:15:08    812,703     222776,1658
19:15:13    817,786     223295,2152
19:15:18    822,878     223267,0756
19:15:23    827,961     223346,6893
19:15:28    833,055     223296,3969
19:15:33    838,138     223586,2222
19:15:38    843,220     223640,9521
19:15:43    848,313     223751,4309
19:15:48    853,408     223930,5006
19:15:53    858,505     224051,5355
19:15:58    863,590     224075,6255
19:16:03    868,673     224304,1454
19:16:09    873,771     224396,8177
19:16:14    878,854     224589,5204
19:16:19    883,938     224554,2876
19:16:24    889,022     224798,8676
19:16:29    894,117     224940,2396
19:16:34    899,202     224892,1777
19:16:39    904,285     225054,0706
19:16:44    909,368     225179,3336
19:16:49    914,453     225141,2895
19:16:54    919,539     225555,0463
19:16:59    924,624     225387,9878
19:17:05    929,719     225537,2130
19:17:10    934,818     225609,9621
19:17:15    939,919     225582,9520
19:17:20    945,006     225964,8733
19:17:25    950,092     225963,0203
19:17:30    955,178     226222,5828
19:17:35    960,277     226435,0756
19:17:40    965,365     226766,6886
19:17:45    970,451     227588,4525
19:17:50    975,552     228156,4867
19:17:55    980,638     228708,0612
19:18:01    985,724     229264,5283
19:18:06    990,827     229874,7908
19:18:11    995,917     230630,6666
19:18:16   1001,006     230860,0147
19:18:21   1006,095     231223,8981
19:18:26   1011,197     231829,3036
19:18:31   1016,300     232209,0831
19:18:36   1021,388     232609,3002
19:18:41   1026,477     232699,9521
19:18:46   1031,567     233177,1906
19:18:51   1036,669     233356,5222
19:18:57   1041,782     233516,3372
19:19:02   1046,874     233732,0196
19:19:07   1051,963     233983,5632
19:19:12   1057,053     234032,6306
19:19:17   1062,165     234122,5087
19:19:22   1067,295     234134,6733
19:19:27   1072,421     234207,6714
19:19:32   1077,550     234281,3598
19:19:37   1082,682     234280,4262
19:19:43   1087,772     234476,6490
19:19:48   1092,888     234616,2303
19:19:53   1097,997     234609,5837
19:19:58   1103,104     234671,3163
19:20:03   1108,212     234702,9278
19:20:08   1113,322     234706,6745
19:20:13   1118,443     234932,8718
19:20:18   1123,540     234895,9172
19:20:23   1128,633     234826,2193
19:20:29   1133,732     235019,1253
19:20:34   1138,866     235008,9483
19:20:39   1143,995     235138,9160
19:20:44   1149,093     235064,4469
19:20:49   1154,187     234985,9382
19:20:54   1159,296     235028,6452
19:20:59   1164,407     235207,5237
19:21:04   1169,532     235218,1835
19:21:09   1174,631     235233,2718
19:21:15   1179,742     235185,2107
19:21:20   1184,834     234966,0305
19:21:25   1189,947     234143,8036
19:21:30   1195,074     233346,2617
19:21:35   1200,178     232906,5071
19:21:40   1205,313     232806,4859
19:21:45   1210,410     232305,1312
19:21:50   1215,544     232075,7512
19:21:55   1220,641     231917,7756
19:22:01   1225,738     231956,0270
19:22:06   1230,833     231941,2703
19:22:11   1235,927     232234,5962
19:22:16   1241,040     232146,8030
19:22:21   1246,136     232216,4394
19:22:26   1251,232     232311,2942
19:22:31   1256,327     232527,9389
19:22:36   1261,464     232598,9217
19:22:41   1266,569     232883,3313
19:22:47   1271,703     233362,2453
